"","Status","student_id","Last_names","First_names","Grade_lv","Academy","PAT","IEP","ELL","ETH","INT","student_email","contact","A","B","C","D","total","F","Attend","credits","teacher_period1","class_period1","grade_period1","percent_period1","teacher_period2","class_period2","grade_period2","percent_period2","teacher_period3","class_period3","grade_period3","percent_period3","teacher_period4","class_period4","grade_period4","percent_period4","teacher_period5","class_period5","grade_period5","percent_period5","teacher_period6","class_period6","grade_period6","percent_period6","teacher_period7","class_period7","grade_period7","percent_period7","teacher_period8","class_period8","grade_period8","percent_period8"
"0","In-Person",424,"_424","Student",9,"academy_1","teacher_44",NA,"No Services","B",0,"email","parent",0,0,0,0,0,0,"97.7%",17,"teacher_59","Pre-Calc","C",75,"teacher_45","Sculpting","A",99,"teacher_1","Statistics","D",68,"teacher_36","English 4","A",91,"teacher_12","acting","A",95,"teacher_48","Algebra 2","A",95,"teacher_41","PE","B",89,"teacher_81","Metal Shop","B",82
"0","In-Person",425,"_425","Student",9,"academy_3","teacher_74","Yes","No Services","P",0,"email","parent",0,0,0,0,0,0,"90.6%",15,"teacher_1","Statistics","B",83,"teacher_59","Pre-Calc","B",80,"teacher_45","Sculpting","A",91,"teacher_36","English 4","B",85,"teacher_32","Geography","D",63,"teacher_31","Genetics","A",92,"teacher_68","Algebra 1","A",90,"teacher_40","Biology","B",88
"0","In-Person",426,"_426","Student",11,"academy_3","teacher_76",NA,"No Services","W",0,"email","parent",0,0,0,0,0,0,"97.8%",3,"teacher_47","Geometry","B",85,"teacher_15","Wood shop","F",54,"teacher_81","Programming","A",98,"teacher_30","Chemistry","C",77,"teacher_22","English 2","B",84,"teacher_87","Calculus","B",89,"teacher_31","Genetics","A",91,"teacher_55","Environmental Science","C",79
"0","In-Person",427,"_427","Student",10,"academy_2","teacher_8",NA,"No Services","W",0,"email","parent",0,0,0,0,0,0,"93.7%",17,"teacher_96","Theatre Craft","B",82,"teacher_63","English 3","C",76,"teacher_26","American History","D",63,"teacher_25","Physics","C",79,"teacher_45","Sculpting","F",46,"teacher_59","Home Economics","C",79,"teacher_24","World History","B",89,"teacher_40","Biology","C",77
"0","In-Person",428,"_428","Student",10,"academy_2","teacher_73","Yes","No Services","B",0,"email","parent",0,0,0,0,0,0,"95.9%",13,"teacher_55","Environmental Science","A",97,"teacher_31","Genetics","A",92,"teacher_15","Wood shop","C",74,"teacher_22","English 2","A",91,"teacher_18","Painting","C",75,"teacher_36","English 4","A",90,"teacher_84","Economics","A",96,"teacher_12","acting","C",78
"0","In-Person",429,"_429","Student",9,"academy_2","teacher_33","Yes","No Services","W",0,"email","parent",0,0,0,0,0,0,"99.6%",2,"teacher_96","Theatre Craft","D",61,"teacher_48","Algebra 2","C",71,"teacher_15","Wood shop","B",87,"teacher_59","Pre-Calc","B",85,"teacher_18","Painting","A",92,"teacher_63","Sports","A",91,"teacher_47","Geometry","F",59,"teacher_1","Statistics","F",36
"0","In-Person",430,"_430","Student",10,"academy_2","teacher_96",NA,"Post Service","H",0,"email","parent",0,0,0,0,0,0,"98.4%",19,"teacher_32","Geography","C",74,"teacher_68","Algebra 1","B",84,"teacher_39","Culinary Arts","F",58,"teacher_64","Geology","C",79,"teacher_24","Drawing","A",93,"teacher_18","Painting","D",64,"teacher_62","Speech","A",90,"teacher_24","World History","B",81
"0","In-Person",431,"_431","Student",10,"academy_4","teacher_50",NA,"No Services","I",0,"email","parent",0,0,0,0,0,0,"81.2%",8,"teacher_64","Geology","F",29,"teacher_48","Algebra 2","D",63,"teacher_24","World History","A",97,"teacher_68","Algebra 1","B",80,"teacher_87","Calculus","A",95,"teacher_81","Metal Shop","A",90,"teacher_47","Geometry","C",76,"teacher_77","English 1","C",70
"0","In-Person",432,"_432","Student",10,"academy_1","teacher_15",NA,"No Services","M",0,"email","parent",0,0,0,0,0,0,"93.7%",5,"teacher_51","Auto Shop","A",90,"teacher_96","Theatre Craft","F",48,"teacher_81","Programming","C",79,"teacher_12","acting","C",75,"teacher_39","Culinary Arts","B",85,"teacher_45","Sculpting","A",90,"teacher_95","Auto-Cad","C",76,"teacher_26","American History","A",94
"0","In-Person",433,"_433","Student",9,"academy_3","teacher_88","Yes","No Services","M",0,"email","parent",0,0,0,0,0,0,"93.7%",3,"teacher_45","Sculpting","A",95,"teacher_31","Genetics","D",64,"teacher_84","Economics","A",99,"teacher_96","Theatre Craft","C",74,"teacher_55","Environmental Science","F",29,"teacher_40","Biology","A",99,"teacher_59","Pre-Calc","A",92,"teacher_41","PE","B",84
"0","In-Person",434,"_434","Student",11,"academy_1","teacher_29",NA,"No Services","B",0,"email","parent",0,0,0,0,0,0,"95%",23,"teacher_47","Geometry","A",94,"teacher_62","Speech","C",72,"teacher_26","American History","A",92,"teacher_25","Physics","D",66,"teacher_24","Drawing","A",97,"teacher_68","Algebra 1","B",89,"teacher_22","English 2","A",96,"teacher_18","Painting","B",85
"0","In-Person",435,"_435","Student",9,"academy_5","teacher_75",NA,"No Services","B",0,"email","parent",0,0,0,0,0,0,"94%",9,"teacher_55","Environmental Science","B",84,"teacher_63","Sports","B",80,"teacher_1","Statistics","C",70,"teacher_83","Run/Ski","C",78,"teacher_77","English 1","C",76,"teacher_32","Geography","A",98,"teacher_39","Culinary Arts","B",82,"teacher_59","Home Economics","F",58
"0","In-Person",436,"_436","Student",12,"academy_1","teacher_31",NA,"No Services","U",0,"email","parent",0,0,0,0,0,0,"96.3%",9,"teacher_24","World History","B",84,"teacher_45","Sculpting","C",71,"teacher_62","Speech","A",90,"teacher_81","Programming","C",75,"teacher_95","Auto-Cad","F",49,"teacher_79","Engineering","B",83,"teacher_1","Statistics","B",84,"teacher_12","acting","C",78
"0","In-Person",437,"_437","Student",12,"academy_6","teacher_42",NA,"No Services","A",0,"email","parent",0,0,0,0,0,0,"95.6%",4,"teacher_79","Engineering","B",89,"teacher_77","English 1","B",89,"teacher_47","Geometry","B",81,"teacher_51","Auto Shop","C",72,"teacher_38","Forensics","B",88,"teacher_55","Environmental Science","A",94,"teacher_30","Chemistry","B",83,"teacher_64","Geology","D",63
"0","In-Person",438,"_438","Student",11,"academy_3","teacher_13",NA,"No Services","M",0,"email","parent",0,0,0,0,0,0,"96.5%",14,"teacher_40","Biology","B",83,"teacher_24","Drawing","A",91,"teacher_96","Theatre Craft","B",80,"teacher_18","Painting","A",94,"teacher_22","English 2","B",85,"teacher_81","Programming","B",84,"teacher_51","Auto Shop","B",81,"teacher_83","Run/Ski","F",54
"0","In-Person",439,"_439","Student",10,"academy_5","teacher_44",NA,"Active Service","P",0,"email","parent",0,0,0,0,0,0,"91%",21,"teacher_62","Speech","A",98,"teacher_77","English 1","A",92,"teacher_55","Environmental Science","A",98,"teacher_64","Geology","A",98,"teacher_32","Geography","D",63,"teacher_26","American History","D",62,"teacher_24","World History","A",93,"teacher_78","Personal finance","F",50
"0","In-Person",440,"_440","Student",9,"academy_2","teacher_79",NA,"No Services","I",0,"email","parent",0,0,0,0,0,0,"98.6%",15,"teacher_24","Trigonometry","C",78,"teacher_62","Speech","B",89,"teacher_78","Personal finance","B",86,"teacher_40","Biology","D",69,"teacher_48","Algebra 2","B",85,"teacher_84","Economics","F",28,"teacher_81","Programming","C",73,"teacher_59","Pre-Calc","A",98
"0","In-Person",441,"_441","Student",11,"academy_1","teacher_1",NA,"Post Service","A",0,"email","parent",0,0,0,0,0,0,"82.4%",1,"teacher_62","Speech","C",75,"teacher_15","Wood shop","B",81,"teacher_48","Algebra 2","A",98,"teacher_25","Physics","B",88,"teacher_47","Geometry","B",86,"teacher_41","PE","C",75,"teacher_22","English 2","B",80,"teacher_40","Biology","B",83
"0","In-Person",442,"_442","Student",11,"academy_3","teacher_28",NA,"No Services","H",0,"email","parent",0,0,0,0,0,0,"86.5%",15,"teacher_79","Engineering","F",59,"teacher_36","English 4","C",79,"teacher_40","Biology","A",93,"teacher_47","Geometry","C",78,"teacher_30","Chemistry","A",94,"teacher_59","Pre-Calc","A",94,"teacher_51","Auto Shop","D",69,"teacher_18","Painting","A",98
"0","In-Person",443,"_443","Student",12,"academy_5","teacher_52",NA,"No Services","M",0,"email","parent",0,0,0,0,0,0,"98.4%",15,"teacher_62","Speech","C",76,"teacher_24","Drawing","D",69,"teacher_48","Algebra 2","B",87,"teacher_24","World History","C",78,"teacher_28","Weight lifting","A",98,"teacher_63","English 3","C",77,"teacher_25","Physics","B",89,"teacher_83","Run/Ski","A",93
"0","In-Person",444,"_444","Student",10,"academy_2","teacher_4",NA,"No Services","W",0,"email","parent",0,0,0,0,0,0,"94%",24,"teacher_62","Speech","B",80,"teacher_15","Wood shop","D",65,"teacher_30","Chemistry","B",88,"teacher_81","Metal Shop","A",93,"teacher_55","Environmental Science","A",93,"teacher_24","Drawing","B",81,"teacher_96","Theatre Craft","B",86,"teacher_12","acting","B",84
"0","In-Person",445,"_445","Student",10,"academy_6","teacher_29",NA,"No Services","P",0,"email","parent",0,0,0,0,0,0,"95.1%",16,"teacher_87","Calculus","B",87,"teacher_63","Sports","C",71,"teacher_59","Home Economics","B",88,"teacher_24","Trigonometry","D",66,"teacher_84","Economics","A",95,"teacher_18","Painting","B",82,"teacher_28","Weight lifting","F",46,"teacher_41","PE","B",80
"0","In-Person",446,"_446","Student",12,"academy_3","teacher_96",NA,"No Services","A",0,"email","parent",0,0,0,0,0,0,"90.9%",18,"teacher_81","Programming","B",89,"teacher_95","Auto-Cad","D",65,"teacher_59","Pre-Calc","D",69,"teacher_38","Forensics","A",95,"teacher_77","English 1","B",81,"teacher_30","Chemistry","B",83,"teacher_45","Sculpting","D",67,"teacher_51","Auto Shop","B",82
"0","In-Person",447,"_447","Student",11,"academy_5","teacher_28",NA,"No Services","W",0,"email","parent",0,0,0,0,0,0,"90.2%",5,"teacher_40","Biology","A",93,"teacher_36","English 4","B",85,"teacher_22","English 2","B",87,"teacher_24","Trigonometry","B",85,"teacher_77","English 1","A",94,"teacher_39","Culinary Arts","D",69,"teacher_79","Engineering","C",70,"teacher_15","Wood shop","B",85
"0","In-Person",448,"_448","Student",12,"academy_5","teacher_34",NA,"No Services","P",0,"email","parent",0,0,0,0,0,0,"98.9%",9,"teacher_36","English 4","A",93,"teacher_22","English 2","B",85,"teacher_26","American History","C",73,"teacher_77","English 1","B",81,"teacher_47","Geometry","B",86,"teacher_87","Calculus","C",79,"teacher_78","Personal finance","B",87,"teacher_31","Genetics","A",94
"0","In-Person",449,"_449","Student",12,"academy_6","teacher_26",NA,"No Services","H",0,"email","parent",0,0,0,0,0,0,"96.3%",9,"teacher_47","Geometry","B",85,"teacher_59","Home Economics","D",64,"teacher_81","Metal Shop","A",90,"teacher_83","Run/Ski","F",55,"teacher_25","Physics","C",78,"teacher_24","Trigonometry","F",54,"teacher_48","Algebra 2","B",88,"teacher_22","English 2","F",53
"0","In-Person",450,"_450","Student",10,"academy_5","teacher_32",NA,"No Services","I",0,"email","parent",0,0,0,0,0,0,"99.4%",2,"teacher_62","Speech","C",71,"teacher_45","Sculpting","A",95,"teacher_95","Auto-Cad","D",66,"teacher_28","Weight lifting","A",93,"teacher_59","Pre-Calc","C",78,"teacher_26","American History","B",82,"teacher_36","English 4","D",68,"teacher_47","Geometry","B",84
"0","In-Person",451,"_451","Student",10,"academy_5","teacher_58",NA,"No Services","I",0,"email","parent",0,0,0,0,0,0,"98.5%",1,"teacher_22","English 2","D",68,"teacher_24","Trigonometry","A",98,"teacher_1","Statistics","A",94,"teacher_12","acting","A",91,"teacher_59","Pre-Calc","C",71,"teacher_47","Geometry","C",79,"teacher_55","Environmental Science","B",88,"teacher_32","Geography","C",78
"0","In-Person",452,"_452","Student",10,"academy_5","teacher_48",NA,"No Services","I",0,"email","parent",0,0,0,0,0,0,"78.3%",6,"teacher_87","Calculus","A",93,"teacher_59","Pre-Calc","A",90,"teacher_63","Sports","B",84,"teacher_59","Home Economics","C",75,"teacher_64","Geology","F",29,"teacher_32","Geography","A",93,"teacher_62","Speech","B",81,"teacher_68","Algebra 1","B",89
"0","In-Person",453,"_453","Student",9,"academy_6","teacher_96",NA,"No Services","P",0,"email","parent",0,0,0,0,0,0,"99.1%",17,"teacher_36","English 4","B",84,"teacher_63","Sports","A",94,"teacher_83","Run/Ski","B",82,"teacher_40","Biology","B",83,"teacher_47","Geometry","A",90,"teacher_22","English 2","B",80,"teacher_15","Wood shop","B",86,"teacher_1","Statistics","C",77
"0","In-Person",454,"_454","Student",11,"academy_2","teacher_46",NA,"No Services","U",0,"email","parent",0,0,0,0,0,0,"75%",8,"teacher_15","Wood shop","A",90,"teacher_41","PE","F",33,"teacher_55","Environmental Science","A",95,"teacher_28","Weight lifting","D",69,"teacher_26","American History","A",98,"teacher_81","Metal Shop","B",82,"teacher_84","Economics","A",92,"teacher_59","Home Economics","A",94
"0","In-Person",455,"_455","Student",11,"academy_3","teacher_4","Yes","No Services","B",0,"email","parent",0,0,0,0,0,0,"87%",23,"teacher_55","Environmental Science","B",84,"teacher_78","Personal finance","D",62,"teacher_41","PE","C",76,"teacher_12","acting","B",81,"teacher_15","Wood shop","C",78,"teacher_45","Sculpting","A",94,"teacher_63","Sports","B",89,"teacher_84","Economics","F",59
"0","In-Person",456,"_456","Student",11,"academy_5","teacher_5",NA,"No Services","B",0,"email","parent",0,0,0,0,0,0,"94.6%",11,"teacher_83","Run/Ski","B",86,"teacher_81","Programming","F",57,"teacher_64","Geology","B",81,"teacher_77","English 1","B",82,"teacher_81","Metal Shop","B",87,"teacher_22","English 2","B",81,"teacher_47","Geometry","B",87,"teacher_39","Culinary Arts","B",82
"0","In-Person",457,"_457","Student",11,"academy_6","teacher_61",NA,"No Services","A",0,"email","parent",0,0,0,0,0,0,"90.6%",11,"teacher_64","Geology","A",96,"teacher_95","Auto-Cad","B",82,"teacher_81","Metal Shop","F",38,"teacher_28","Weight lifting","C",78,"teacher_24","Drawing","C",72,"teacher_24","Trigonometry","A",92,"teacher_39","Culinary Arts","A",90,"teacher_45","Sculpting","B",81
"0","In-Person",458,"_458","Student",10,"academy_3","teacher_72",NA,"No Services","I",0,"email","parent",0,0,0,0,0,0,"95.7%",19,"teacher_77","English 1","A",99,"teacher_87","Calculus","B",88,"teacher_63","English 3","D",65,"teacher_25","Physics","A",95,"teacher_24","Trigonometry","D",63,"teacher_81","Programming","F",36,"teacher_15","Wood shop","B",84,"teacher_47","Geometry","A",97
"0","In-Person",459,"_459","Student",12,"academy_4","teacher_30",NA,"No Services","I",0,"email","parent",0,0,0,0,0,0,"99.6%",3,"teacher_45","Sculpting","A",91,"teacher_78","Personal finance","C",73,"teacher_68","Algebra 1","C",71,"teacher_24","Trigonometry","C",76,"teacher_18","Painting","D",60,"teacher_59","Pre-Calc","C",72,"teacher_32","Geography","C",72,"teacher_84","Economics","F",56
"0","In-Person",460,"_460","Student",10,"academy_5","teacher_72",NA,"No Services","W",0,"email","parent",0,0,0,0,0,0,"100%",5,"teacher_30","Chemistry","A",90,"teacher_84","Economics","B",89,"teacher_36","English 4","A",93,"teacher_59","Home Economics","A",93,"teacher_25","Physics","C",73,"teacher_31","Genetics","C",73,"teacher_41","PE","B",85,"teacher_63","English 3","A",98
"0","In-Person",461,"_461","Student",9,"academy_1","teacher_96",NA,"No Services","H",0,"email","parent",0,0,0,0,0,0,"85.3%",24,"teacher_51","Auto Shop","C",79,"teacher_87","Calculus","C",71,"teacher_24","Trigonometry","B",81,"teacher_48","Algebra 2","B",80,"teacher_32","Geography","B",81,"teacher_47","Geometry","A",92,"teacher_25","Physics","D",66,"teacher_31","Genetics","B",83
"0","In-Person",462,"_462","Student",10,"academy_4","teacher_54",NA,"No Services","A",0,"email","parent",0,0,0,0,0,0,"95.6%",1,"teacher_41","PE","B",85,"teacher_24","World History","B",89,"teacher_24","Drawing","B",83,"teacher_59","Home Economics","A",98,"teacher_47","Geometry","C",78,"teacher_63","English 3","B",88,"teacher_15","Wood shop","F",36,"teacher_77","English 1","C",76
"0","In-Person",463,"_463","Student",12,"academy_6","teacher_84",NA,"No Services","M",0,"email","parent",0,0,0,0,0,0,"97.3%",12,"teacher_51","Auto Shop","C",75,"teacher_30","Chemistry","A",92,"teacher_18","Painting","A",90,"teacher_96","Theatre Craft","F",21,"teacher_79","Engineering","F",50,"teacher_38","Forensics","D",62,"teacher_59","Pre-Calc","B",81,"teacher_32","Geography","A",90
"0","In-Person",464,"_464","Student",12,"academy_5","teacher_14",NA,"No Services","I",0,"email","parent",0,0,0,0,0,0,"68.1%",10,"teacher_15","Wood shop","D",66,"teacher_77","English 1","A",91,"teacher_79","Engineering","D",65,"teacher_48","Algebra 2","B",80,"teacher_40","Biology","C",72,"teacher_24","Drawing","A",98,"teacher_12","acting","C",74,"teacher_81","Metal Shop","A",91
"0","In-Person",465,"_465","Student",10,"academy_1","teacher_62",NA,"No Services","M",0,"email","parent",0,0,0,0,0,0,"91.9%",3,"teacher_87","Calculus","A",92,"teacher_77","English 1","D",66,"teacher_41","PE","A",92,"teacher_24","Trigonometry","A",98,"teacher_30","Chemistry","A",91,"teacher_24","World History","A",90,"teacher_59","Pre-Calc","D",64,"teacher_63","English 3","B",81
"0","In-Person",466,"_466","Student",12,"academy_6","teacher_86",NA,"No Services","A",0,"email","parent",0,0,0,0,0,0,"98.1%",13,"teacher_24","Trigonometry","D",66,"teacher_83","Run/Ski","B",85,"teacher_39","Culinary Arts","D",61,"teacher_12","acting","B",84,"teacher_59","Pre-Calc","B",80,"teacher_47","Geometry","B",85,"teacher_45","Sculpting","B",88,"teacher_24","World History","A",93
"0","In-Person",467,"_467","Student",9,"academy_6","teacher_84",NA,"No Services","I",0,"email","parent",0,0,0,0,0,0,"95.8%",13,"teacher_55","Environmental Science","D",62,"teacher_45","Sculpting","F",51,"teacher_63","Sports","C",79,"teacher_31","Genetics","A",93,"teacher_30","Chemistry","B",80,"teacher_39","Culinary Arts","A",92,"teacher_81","Metal Shop","F",59,"teacher_32","Geography","A",100
"0","In-Person",468,"_468","Student",10,"academy_2","teacher_15",NA,"Monitoring","A",0,"email","parent",0,0,0,0,0,0,"91.4%",4,"teacher_45","Sculpting","A",93,"teacher_28","Weight lifting","A",98,"teacher_81","Metal Shop","C",78,"teacher_18","Painting","D",65,"teacher_24","World History","A",93,"teacher_41","PE","B",85,"teacher_47","Geometry","A",95,"teacher_24","Trigonometry","C",77
"0","In-Person",469,"_469","Student",12,"academy_5","teacher_30",NA,"No Services","A",0,"email","parent",0,0,0,0,0,0,"85.6%",22,"teacher_28","Weight lifting","C",74,"teacher_59","Home Economics","F",31,"teacher_32","Geography","A",98,"teacher_26","American History","F",52,"teacher_18","Painting","B",84,"teacher_63","Sports","B",80,"teacher_47","Geometry","C",77,"teacher_31","Genetics","A",95
"0","In-Person",470,"_470","Student",11,"academy_1","teacher_66",NA,"No Services","A",0,"email","parent",0,0,0,0,0,0,"95.2%",10,"teacher_32","Geography","F",55,"teacher_48","Algebra 2","C",79,"teacher_12","acting","B",81,"teacher_95","Auto-Cad","A",99,"teacher_30","Chemistry","B",86,"teacher_64","Geology","F",53,"teacher_45","Sculpting","C",75,"teacher_24","Trigonometry","B",88
"0","In-Person",471,"_471","Student",11,"academy_6","teacher_5",NA,"No Services","P",0,"email","parent",0,0,0,0,0,0,"100%",18,"teacher_22","English 2","B",86,"teacher_38","Forensics","B",87,"teacher_31","Genetics","A",90,"teacher_81","Metal Shop","B",84,"teacher_83","Run/Ski","C",79,"teacher_81","Programming","F",10,"teacher_15","Wood shop","C",76,"teacher_12","acting","B",87
"0","In-Person",472,"_472","Student",9,"academy_6","teacher_17",NA,"No Services","H",0,"email","parent",0,0,0,0,0,0,"94.3%",21,"teacher_24","World History","B",86,"teacher_87","Calculus","A",97,"teacher_78","Personal finance","B",85,"teacher_39","Culinary Arts","D",65,"teacher_45","Sculpting","C",73,"teacher_95","Auto-Cad","D",68,"teacher_47","Geometry","B",85,"teacher_24","Trigonometry","A",95
"0","In-Person",473,"_473","Student",11,"academy_2","teacher_8",NA,"No Services","U",0,"email","parent",0,0,0,0,0,0,"85.9%",5,"teacher_12","acting","A",96,"teacher_95","Auto-Cad","B",89,"teacher_62","Speech","A",99,"teacher_32","Geography","F",52,"teacher_28","Weight lifting","A",97,"teacher_18","Painting","A",90,"teacher_1","Statistics","C",72,"teacher_39","Culinary Arts","B",83
"0","In-Person",474,"_474","Student",10,"academy_2","teacher_88",NA,"No Services","U",0,"email","parent",0,0,0,0,0,0,"69.7%",24,"teacher_81","Metal Shop","B",80,"teacher_63","Sports","C",79,"teacher_24","Trigonometry","F",54,"teacher_24","Drawing","B",85,"teacher_28","Weight lifting","A",99,"teacher_38","Forensics","B",81,"teacher_81","Programming","B",88,"teacher_48","Algebra 2","C",79
"0","In-Person",475,"_475","Student",11,"academy_3","teacher_16",NA,"No Services","P",0,"email","parent",0,0,0,0,0,0,"85.2%",19,"teacher_96","Theatre Craft","D",61,"teacher_1","Statistics","C",75,"teacher_55","Environmental Science","F",52,"teacher_25","Physics","B",88,"teacher_26","American History","B",88,"teacher_63","Sports","C",77,"teacher_39","Culinary Arts","D",60,"teacher_15","Wood shop","F",52
"0","In-Person",476,"_476","Student",9,"academy_2","teacher_56",NA,"No Services","M",0,"email","parent",0,0,0,0,0,0,"94.3%",11,"teacher_39","Culinary Arts","A",97,"teacher_81","Metal Shop","A",92,"teacher_30","Chemistry","A",97,"teacher_18","Painting","B",88,"teacher_12","acting","A",95,"teacher_28","Weight lifting","A",92,"teacher_38","Forensics","A",91,"teacher_45","Sculpting","B",84
"0","In-Person",477,"_477","Student",12,"academy_2","teacher_86",NA,"No Services","I",0,"email","parent",0,0,0,0,0,0,"94.6%",1,"teacher_59","Home Economics","B",83,"teacher_15","Wood shop","A",91,"teacher_24","Drawing","B",81,"teacher_12","acting","B",88,"teacher_36","English 4","B",84,"teacher_68","Algebra 1","A",93,"teacher_48","Algebra 2","A",92,"teacher_62","Speech","F",53
"0","In-Person",478,"_478","Student",12,"academy_1","teacher_31",NA,"No Services","H",0,"email","parent",0,0,0,0,0,0,"88.2%",17,"teacher_41","PE","B",88,"teacher_78","Personal finance","A",99,"teacher_84","Economics","C",72,"teacher_24","Trigonometry","B",88,"teacher_25","Physics","A",97,"teacher_96","Theatre Craft","F",54,"teacher_79","Engineering","F",59,"teacher_28","Weight lifting","C",77
"0","In-Person",479,"_479","Student",10,"academy_1","teacher_48",NA,"No Services","U",0,"email","parent",0,0,0,0,0,0,"92.2%",1,"teacher_12","acting","B",87,"teacher_39","Culinary Arts","F",51,"teacher_63","Sports","D",67,"teacher_59","Home Economics","B",83,"teacher_68","Algebra 1","A",97,"teacher_59","Pre-Calc","C",75,"teacher_81","Metal Shop","A",97,"teacher_64","Geology","A",91
"0","In-Person",480,"_480","Student",9,"academy_1","teacher_73","Yes","No Services","U",0,"email","parent",0,0,0,0,0,0,"87.1%",16,"teacher_68","Algebra 1","C",77,"teacher_51","Auto Shop","B",85,"teacher_31","Genetics","A",100,"teacher_84","Economics","A",95,"teacher_22","English 2","F",43,"teacher_40","Biology","B",89,"teacher_30","Chemistry","B",81,"teacher_41","PE","A",90
"0","In-Person",481,"_481","Student",10,"academy_6","teacher_87","Yes","No Services","H",0,"email","parent",0,0,0,0,0,0,"87.6%",17,"teacher_55","Environmental Science","D",66,"teacher_79","Engineering","A",91,"teacher_15","Wood shop","F",54,"teacher_48","Algebra 2","C",72,"teacher_45","Sculpting","C",72,"teacher_36","English 4","B",85,"teacher_22","English 2","A",93,"teacher_84","Economics","B",80
"0","In-Person",482,"_482","Student",11,"academy_5","teacher_13",NA,"No Services","B",0,"email","parent",0,0,0,0,0,0,"76%",16,"teacher_95","Auto-Cad","F",46,"teacher_87","Calculus","B",83,"teacher_1","Statistics","D",67,"teacher_64","Geology","A",91,"teacher_41","PE","A",95,"teacher_24","World History","C",79,"teacher_22","English 2","C",79,"teacher_68","Algebra 1","F",53
"0","In-Person",483,"_483","Student",12,"academy_4","teacher_54",NA,"Monitoring","P",0,"email","parent",0,0,0,0,0,0,"85.7%",10,"teacher_59","Pre-Calc","C",79,"teacher_77","English 1","A",96,"teacher_24","Drawing","A",92,"teacher_78","Personal finance","A",97,"teacher_18","Painting","A",93,"teacher_63","English 3","B",88,"teacher_79","Engineering","B",86,"teacher_68","Algebra 1","B",84
"0","In-Person",484,"_484","Student",10,"academy_1","teacher_43",NA,"No Services","B",0,"email","parent",0,0,0,0,0,0,"94.8%",11,"teacher_15","Wood shop","F",56,"teacher_79","Engineering","A",92,"teacher_26","American History","F",57,"teacher_12","acting","A",92,"teacher_36","English 4","A",92,"teacher_51","Auto Shop","C",74,"teacher_78","Personal finance","A",97,"teacher_81","Programming","C",75
"0","In-Person",485,"_485","Student",11,"academy_6","teacher_46",NA,"Active Service","I",0,"email","parent",0,0,0,0,0,0,"75.8%",2,"teacher_81","Metal Shop","F",56,"teacher_36","English 4","A",90,"teacher_31","Genetics","C",70,"teacher_22","English 2","A",99,"teacher_78","Personal finance","A",94,"teacher_24","Drawing","C",79,"teacher_39","Culinary Arts","B",87,"teacher_32","Geography","D",69
"0","In-Person",486,"_486","Student",12,"academy_5","teacher_18",NA,"No Services","U",0,"email","parent",0,0,0,0,0,0,"99.7%",22,"teacher_59","Home Economics","C",77,"teacher_32","Geography","B",88,"teacher_81","Programming","B",83,"teacher_15","Wood shop","F",42,"teacher_22","English 2","A",90,"teacher_63","English 3","F",36,"teacher_38","Forensics","B",88,"teacher_39","Culinary Arts","B",85
"0","In-Person",487,"_487","Student",11,"academy_4","teacher_63",NA,"No Services","M",0,"email","parent",0,0,0,0,0,0,"92.2%",5,"teacher_59","Pre-Calc","A",93,"teacher_47","Geometry","C",72,"teacher_45","Sculpting","A",90,"teacher_59","Home Economics","A",92,"teacher_81","Metal Shop","A",93,"teacher_79","Engineering","A",95,"teacher_28","Weight lifting","D",68,"teacher_24","Trigonometry","D",66
"0","In-Person",488,"_488","Student",11,"academy_5","teacher_60",NA,"Post Service","B",0,"email","parent",0,0,0,0,0,0,"90.4%",17,"teacher_62","Speech","D",62,"teacher_18","Painting","B",87,"teacher_68","Algebra 1","A",92,"teacher_31","Genetics","D",62,"teacher_26","American History","B",84,"teacher_87","Calculus","F",37,"teacher_81","Programming","B",84,"teacher_39","Culinary Arts","F",45
"0","In-Person",489,"_489","Student",12,"academy_6","teacher_30",NA,"No Services","W",0,"email","parent",0,0,0,0,0,0,"97.8%",22,"teacher_87","Calculus","A",100,"teacher_1","Statistics","B",86,"teacher_18","Painting","C",71,"teacher_64","Geology","C",74,"teacher_40","Biology","A",91,"teacher_84","Economics","B",81,"teacher_51","Auto Shop","C",78,"teacher_96","Theatre Craft","B",87
"0","In-Person",490,"_490","Student",12,"academy_2","teacher_97","Yes","No Services","U",0,"email","parent",0,0,0,0,0,0,"85.6%",21,"teacher_87","Calculus","B",84,"teacher_79","Engineering","C",78,"teacher_51","Auto Shop","A",100,"teacher_63","English 3","C",70,"teacher_45","Sculpting","C",71,"teacher_40","Biology","B",83,"teacher_84","Economics","B",88,"teacher_24","Drawing","D",65
"0","In-Person",491,"_491","Student",9,"academy_3","teacher_77",NA,"No Services","A",0,"email","parent",0,0,0,0,0,0,"88.1%",13,"teacher_51","Auto Shop","B",84,"teacher_62","Speech","B",88,"teacher_59","Home Economics","A",93,"teacher_64","Geology","C",77,"teacher_47","Geometry","B",85,"teacher_96","Theatre Craft","B",88,"teacher_41","PE","C",71,"teacher_25","Physics","A",91
